,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,domain
528,thunar,63,0,0,881128,Unk,FALSE,System
529,tic,87,0,0,92432,Unk,FALSE,System
530,tigerdeep,188,5,0,244120,gcc(3.X),FALSE,System
531,tmux,390,0,0,733056,gcc(Alpine),FALSE,System
532,top,130,0,0,125000,Unk,FALSE,System
533,touch,70,0,0,88280,Unk,FALSE,System
534,tpmc,33,4,0,54816,Unk,TRUE,System
535,tr,21,0,0,56160,Unk,FALSE,System
536,traceroute.db,44,0,0,72864,Unk,FALSE,Network
537,troff,241,0,0,769792,gcc(3.X),FALSE,System
538,trust,66,4,0,219664,Unk,FALSE,System
539,tshark,66,0,0,315400,Unk,FALSE,Network
540,tsk_comparedir,62,0,0,105248,gcc(3.X),FALSE,System
544,tsort,16,0,0,56128,Unk,FALSE,System
545,udevadm,365,3,0,584072,Unk,FALSE,System
546,udisksctl,16,0,0,59616,Unk,FALSE,System
547,umax_pp,124,0,0,187624,Unk,FALSE,Network
548,uniq,21,0,0,52128,Unk,FALSE,System
549,unix2dos,5,0,0,51368,Unk,FALSE,System
550,unrar-nonfree,266,4,0,322784,gcc(3.X),FALSE,System
551,unsquashfs,70,0,0,115648,Unk,FALSE,System
552,unzip,97,1,0,179208,Unk,FALSE,System
553,unzipsfx,54,1,0,84816,Unk,FALSE,System
554,update-alternatives,98,0,0,59480,Unk,FALSE,System
555,update-mime-database,16,0,0,60608,Unk,FALSE,System
556,upx-ucl,258,3,0,1925080,gcc(3.X),FALSE,System
557,VBoxClient,732,10,0,1947440,Unk,FALSE,Network
558,vdir,158,0,0,133792,Unk,FALSE,System
559,vim,538,6,0,3296328,gcc(Alpine),FALSE,System
560,vim.basic,3060,5,0,3169376,Unk,FALSE,System
561,vim.tiny,1339,0,0,1404616,Unk,FALSE,System
562,voiphopper,191,0,0,97872,Unk,TRUE,Network
563,vsyasm,83,3,0,698664,gcc(GNU),TRUE,System
564,wash,268,9,0,835440,Unk,FALSE,Network
565,wdctl,26,0,0,63744,Unk,FALSE,System
566,webfuzz,119,2,0,63984,Unk,FALSE,Network
567,wg,18,0,0,130432,gcc(Alpine),FALSE,Network
568,wget,426,5,0,539936,Unk,FALSE,Network
569,whatis,30,0,0,52432,Unk,FALSE,System
570,whirlpooldeep,188,5,0,244120,gcc(3.X),FALSE,System
571,who,41,0,0,60384,Unk,FALSE,System
572,whois,99,0,0,160616,Unk,FALSE,System
573,winexe,4,3,6,135224,Unk,TRUE,Network
574,wpa_passphrase,61,0,0,80048,Unk,FALSE,System
575,x11perf,63,0,0,199104,Unk,FALSE,System
576,x11_spike,126,2,0,63984,Unk,FALSE,Network
579,x86_64-linux-gnu-c++filt,93,0,1,129496,Unk,FALSE,System
580,x86_64-linux-gnu-cpp-10,664,2,0,817704,gcc(-),TRUE,System
581,x86_64-linux-gnu-g++-10,656,2,0,821800,gcc(-),TRUE,System
582,x86_64-linux-gnu-gcc-10,647,2,0,817704,gcc(-),TRUE,System
583,x86_64-linux-gnu-gcov-dump-10,205,2,0,245432,gcc(-),TRUE,System
584,x86_64-linux-gnu-gcov-tool-10,260,2,0,266008,gcc(-),TRUE,System
585,x86_64-linux-gnu-gprof,367,0,1,119056,Unk,FALSE,System
586,x86_64-linux-gnu-ld.bfd,812,5,1,1737864,Unk,FALSE,System
587,x86_64-linux-gnu-ld.gold,2929,6,0,2248328,gcc(3.X),FALSE,System
593,xargs,39,0,0,76152,Unk,FALSE,System
594,xauth,45,0,0,52680,Unk,FALSE,Network
595,xclock,11,0,0,59224,Unk,FALSE,System
596,xdg-dbus-proxy,16,0,0,51200,Unk,FALSE,Network
597,xditview,13,0,0,111320,Unk,FALSE,System
598,xdotool,27,0,0,81192,Unk,FALSE,System
599,xedit,531,0,0,678736,Unk,FALSE,System
624,xfreerdp,25,1,0,690760,Unk,FALSE,Network
629,xgc,15,0,0,81016,Unk,FALSE,System
630,xhydra,24,0,0,63528,Unk,FALSE,Network
631,xkbcomp,97,0,0,217960,Unk,FALSE,System
632,xkbprint,9,1,0,92872,Unk,FALSE,System
633,xman,34,0,0,79928,Unk,FALSE,System
634,xmllint,14,0,0,72520,Unk,FALSE,System
635,xprop,23,0,0,50224,Unk,FALSE,System
636,xrandr,28,0,0,64336,Unk,FALSE,System
637,xsm,89,0,0,98200,Unk,FALSE,System
638,Xtightvnc,915,0,0,1678464,Unk,FALSE,Network
639,xtightvncviewer,49,0,0,116912,Unk,FALSE,Network
640,Xvfb,1201,1,18,2049576,Unk,FALSE,Network
641,xwininfo,12,0,0,52160,Unk,FALSE,System
642,xz,72,0,0,81192,Unk,FALSE,System
643,yasm,96,3,0,698664,gcc(GNU),TRUE,System
644,ytasm,94,3,0,694376,gcc(GNU),TRUE,System
645,zenity,9,0,0,131712,Unk,FALSE,System
646,zip,346,1,0,217312,Unk,FALSE,System
647,zipcloak,263,1,0,94640,Unk,FALSE,System
649,zipnote,248,1,0,90224,Unk,FALSE,System
650,zipsplit,238,1,0,90256,Unk,FALSE,System
651,zsh,720,1,0,882080,Unk,FALSE,System
652,[,30,0,0,60224,Unk,FALSE,System
